Date,Open,High,Low,Close,Volume
10/18/2024,"536.90","538.10","535.56","537.36","5,070,412"
10/17/2024,"538.62","538.76","535.15","535.30","3,225,297"
10/16/2024,"532.93","535.73","532.22","535.22","3,237,216"
10/15/2024,"537.38","537.61","531.82","532.98","4,811,330"
10/14/2024,"534.25","537.98","533.97","537.07","2,638,929"
10/11/2024,"529.50","533.43","529.39","532.71","5,429,168"
10/10/2024,"529.27","530.90","528.09","529.56","3,637,633"
10/09/2024,"526.87","531.03","526.31","530.45","2,941,785"
10/08/2024,"524.32","527.38","523.50","526.85","2,626,667"
10/07/2024,"525.14","525.72","520.81","521.91","3,970,505"
10/04/2024,"526.16","527.02","522.30","526.65","5,358,175"
10/03/2024,"521.56","523.76","519.82","521.84","4,007,952"
10/02/2024,"521.85","523.85","519.58","522.83","3,270,583"
10/01/2024,"527.04","527.10","520.23","522.74","9,198,657"
09/30/2024,"524.32","527.96","522.19","527.67","8,017,349"
09/27/2024,"527.09","527.77","524.32","525.38","5,598,594"
09/26/2024,"529.67","529.92","525.49","527.70","5,273,915"
09/25/2024,"526.61","527.30","524.65","525.61","35,418,047"
09/24/2024,"526.01","526.84","523.38","526.68","4,650,608"
09/23/2024,"525.00","525.83","523.83","525.17","29,289,160"
09/20/2024,"523.51","524.92","521.12","523.88","5,612,678"
09/19/2024,"524.88","526.60","522.19","524.91","5,558,371"
09/18/2024,"518.18","522.73","515.47","515.91","6,921,278"
09/17/2024,"519.44","520.74","515.50","517.59","8,149,957"
09/16/2024,"516.34","517.59","514.65","517.35","4,256,253"
09/13/2024,"514.43","517.53","514.23","516.57","4,416,641"
09/12/2024,"510.09","514.14","508.06","513.84","4,099,538"
09/11/2024,"504.31","510.44","496.25","509.46","4,945,832"
09/10/2024,"503.95","504.71","499.50","504.30","2,975,385"
09/09/2024,"500.60","503.37","498.75","502.23","3,656,797"
09/06/2024,"505.34","506.94","495.80","496.64","7,411,439"
09/05/2024,"506.36","508.94","502.84","505.05","3,425,569"
09/04/2024,"505.68","509.53","505.02","506.30","3,601,373"
09/03/2024,"515.12","515.43","505.10","507.56","5,848,240"
08/30/2024,"515.42","518.58","512.12","518.04","5,637,725"
08/29/2024,"514.99","518.09","512.13","513.21","3,487,145"
08/28/2024,"515.80","516.23","510.16","513.13","3,940,428"
08/27/2024,"514.26","516.59","513.16","516.08","3,031,778"
08/26/2024,"517.64","518.29","513.88","515.39","3,398,640"
08/23/2024,"514.33","517.55","512.25","516.66","5,102,791"
08/22/2024,"517.05","517.63","510.10","511.13","3,677,087"
08/21/2024,"514.47","516.66","512.85","515.30","3,344,050"
08/20/2024,"513.92","515.48","512.25","513.50","3,155,981"
08/19/2024,"509.86","514.35","509.06","514.35","3,804,313"
08/16/2024,"506.84","510.11","506.65","509.45","3,449,286"
08/15/2024,"505.09","508.59","504.49","508.38","4,278,953"
08/14/2024,"498.92","500.85","496.48","499.80","3,700,503"
08/13/2024,"493.14","498.38","492.92","498.21","3,247,887"
08/12/2024,"490.94","492.35","487.98","490.07","3,578,134"
08/09/2024,"486.93","491.21","485.82","489.82","7,661,331"
08/08/2024,"481.49","488.27","479.64","487.73","4,177,234"
08/07/2024,"485.70","488.55","476.11","476.61","5,976,351"
08/06/2024,"477.39","486.86","475.94","479.94","8,255,040"
08/05/2024,"470.17","481.18","468.89","475.20","15,244,280"
08/02/2024,"492.41","493.52","485.80","489.91","8,561,166"
08/01/2024,"507.84","509.90","495.75","499.03","6,939,217"
07/31/2024,"504.48","508.65","503.31","505.93","5,367,587"
07/30/2024,"502.05","503.01","494.92","498.08","3,817,800"
